ts_score,source,url_hash,accommodation_id,ville_label,code_postal,code_dept,in_scope_encadrement,surface_m2,loyer_eur_total,eur_per_m2,dpe_letter,ges_letter,meuble,commune_slug,plafond_applied_eur_m2,encadrement_violation,encadrement_excess_eur_m2,encadrement_excess_pct,dpe_violation,violation_type,violation_score,score_version
2026-06-05T05:52:40+00:00,locservice,dade7be4af2ace0c,100546,Marseille 05 (13005),13005,13,false,21,460,21.9,D,A,true,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,b1a0ca5b12fb4298,100621,Nantes (44000),44000,44,false,10,345,34.5,D,B,true,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,ea088f778007862e,101767,Paris 15 (75015),75015,75,true,11,480,43.64,D,C,true,paris,40.0,presumed,3.64,9.1,none,encadrement,1,0.2.0
2026-06-05T05:52:40+00:00,locservice,3f23d8e84a712673,101836,Rezé (44400),44400,44,false,28,420,15.0,C,C,true,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,eace2e81d8dd0d95,102070,Paris 14 (75014),75014,75,true,42,1500,35.71,F,D,true,paris,40.0,none,0.0,0.0,future_F_2028,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,fbba6a7ace2280f2,102955,Toulouse (31000),31000,31,false,22,440,20.0,C,C,false,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,97df961d3841221c,103895,Saint-Orens-de-Gameville (31650),31650,31,false,39,650,16.67,C,B,false,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,cb2a96d9e89b4678,105361,Lille (59000),59000,59,true,33,780,23.64,D,D,true,lille,23.4,presumed,0.24,1.0,none,encadrement,1,0.2.0
2026-06-05T05:52:40+00:00,locservice,bc7208990b170ccc,105377,Collonges-au-Mont-d&#039;Or (69660),69660,69,false,45,830,18.44,A,A,true,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,944e9e5e3c7cf1e5,105378,Lyon 09 (69009),69009,69,true,45,830,18.44,A,A,false,lyon,20.2,none,0.0,0.0,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,ce10e8a0c438b712,105950,Nantes (44000),44000,44,false,35,795,22.71,C,A,true,,,none,,,none,none,0,0.2.0
2026-06-05T05:52:40+00:00,locservice,ae4b73cae11ad9d8,106121,Lyon 03 (69003),69003,69,true,31,630,20.32,C,C,true,lyon,20.2,presumed,0.12,0.6,none,encadrement,1,0.2.0
