ts_score,source,url_hash,accommodation_id,ville_label,code_postal,code_dept,in_scope_encadrement,surface_m2,loyer_eur_total,eur_per_m2,dpe_letter,ges_letter,meuble,commune_slug,plafond_applied_eur_m2,encadrement_violation,encadrement_excess_eur_m2,encadrement_excess_pct,dpe_violation,violation_type,violation_score,score_version
2026-05-19T06:36:29+00:00,locservice,b5c7b5de7c706228,101102,Nantes (44000),44000,44,false,50,1065,21.3,D,D,false,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,4be16dfcf6f29e79,104690,Velaux (13880),13880,13,false,41,800,19.51,C,A,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,ce10e8a0c438b712,105950,Nantes (44000),44000,44,false,35,795,22.71,C,A,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,ae4b73cae11ad9d8,106121,Lyon 03 (69003),69003,69,true,31,630,20.32,D,C,true,lyon,20.2,presumed,0.12,0.6,none,encadrement,1,0.2.0
2026-05-19T06:36:29+00:00,locservice,c6fc3ab0f954ff81,106260,Toulouse (31000),31000,31,false,20,600,30.0,E,E,true,,,none,,,future_E_2034,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,5574b35f2be2f533,107079,Frouzins (31270),31270,31,false,160,1800,11.25,C,C,false,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,fb0ee497c4534000,109095,Toulouse (31000),31000,31,false,30,640,21.33,D,A,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,67926690c7b1cc5b,125421,Le Bouscat (33110),33110,33,false,48,818,17.04,D,B,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,7a3a510d0927aa93,136813,Paris 12 (75012),75012,75,true,32,980,30.62,E,C,true,paris,40.0,none,0.0,0.0,future_E_2034,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,2c1c70e3ac724b4a,140058,Marseille 09 (13009),13009,13,false,40,670,16.75,C,B,false,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,211fb6e29220b219,146042,Villeneuve-d&#039;Ascq (59491),59491,59,false,19,530,27.89,D,D,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,1631903be53b4ba7,1522912,Lyon 09 (69009),69009,69,true,36,740,20.56,D,B,true,lyon,20.2,presumed,0.36,1.8,none,encadrement,1,0.2.0
2026-05-19T06:36:29+00:00,locservice,121a2cd3d2a37a17,1544745,Nantes (44000),44000,44,false,77,1295,16.82,D,E,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,5362dfd19ddfb213,1549138,Nantes (44000),44000,44,false,23,585,25.43,C,C,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,8d917398fba3c26a,1554101,Paris 15 (75015),75015,75,true,57,1675,29.39,E,B,false,paris,40.0,none,0.0,0.0,future_E_2034,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,88c573aa656295be,1554984,Aix-en-Provence (13080),13080,13,false,19,750,39.47,C,B,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,ab408f5b0c3c583c,157768,Craponne (69290),69290,69,false,67,1055,15.75,C,C,false,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,236149eadce2d898,158252,Villeurbanne (69100),69100,69,true,44,1080,24.55,A,A,false,villeurbanne,19.8,clear,4.75,24.0,none,encadrement,2,0.2.0
2026-05-19T06:36:29+00:00,locservice,3badf2cb3e54d86a,160088,Écully (69130),69130,69,false,68,998,14.68,E,D,false,,,none,,,future_E_2034,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,3d8d04336383b79d,1606163,Wasquehal (59290),59290,59,false,106,1600,15.09,A,A,false,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,4c723fe057250ade,1612748,Nantes (44000),44000,44,false,30,620,20.67,C,C,true,,,none,,,none,none,0,0.2.0
2026-05-19T06:36:29+00:00,locservice,5d265be419411868,1634460,Lyon 01 (69001),69001,69,true,22,590,26.82,D,D,true,lyon,20.2,clear,6.62,32.8,none,encadrement,2,0.2.0
2026-05-19T06:36:29+00:00,locservice,a46b21c3f1ea7fe4,1636583,Paris 14 (75014),75014,75,true,16,800,50.0,E,E,true,paris,40.0,clear,10.0,25.0,future_E_2034,encadrement,2,0.2.0
2026-05-19T06:36:29+00:00,locservice,d5ece159e94ee869,165517,Bordeaux (33000),33000,33,true,20,520,26.0,E,E,true,bordeaux,20.9,clear,5.1,24.4,future_E_2034,encadrement,2,0.2.0
